,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,D01,V01,D02,V02,D03,V03,D04,V04,D05,V05,D06,V06,D07,V07,D08,V08,D09,V09,D10,V10,D11,V11,D12,V12,D13,V13,D14,V14,D15,V15,D16,V16,D17,V17,D18,V18,D19,V19,D20,V20,D21,V21,D22,V22,D23,V23,D24,V24,D25,V25,D26,V26,D27,V27,D28,V28,D29,V29,D30,V30,D31,V31
118,28,79,8,9,28079008_9_47,2018,11,10.0,V,6.0,V,10.0,V,14.0,V,7.0,V,5.0,V,7.0,V,10.0,V,4.0,V,4.0,V,7.0,V,7.0,V,11.0,V,14.0,V,12.0,V,13.0,V,9.0,V,8.0,V,6.0,V,5.0,V,7.0,V,8.0,V,7.0,V,13.0,V,5.0,V,5.0,V,10.0,V,24.0,V,22.0,V,13.0,V,0.0,N
119,28,79,8,9,28079008_9_47,2018,12,15.0,V,20.0,V,31.0,V,22.0,V,27.0,V,23.0,V,15.0,V,15.0,V,31.0,V,27.0,V,17.0,V,24.0,V,9.0,V,7.0,V,10.0,V,7.0,V,10.0,V,14.0,V,11.0,V,11.0,V,13.0,V,20.0,V,16.0,V,13.0,N,0.0,N,18.0,N,25.0,V,20.0,V,9.0,V,10.0,V,12.0,V
588,28,79,24,9,28079024_9_47,2018,1,5.0,V,5.0,V,6.0,V,5.0,V,3.0,V,2.0,V,3.0,V,6.0,V,15.0,V,8.0,V,3.0,V,8.0,V,15.0,V,4.0,V,9.0,V,11.0,V,11.0,V,12.0,V,14.0,V,11.0,V,6.0,V,11.0,V,11.0,V,21.0,V,17.0,V,2.0,V,2.0,V,3.0,V,10.0,V,12.0,V,15.0,V
589,28,79,24,9,28079024_9_47,2018,2,14.0,V,2.0,V,4.0,V,2.0,V,2.0,V,3.0,V,4.0,V,4.0,V,13.0,V,5.0,V,10.0,V,4.0,V,7.0,V,4.0,V,10.0,V,21.0,V,16.0,V,3.0,V,2.0,V,2.0,V,3.0,V,9.0,V,8.0,V,13.0,V,17.0,V,16.0,V,10.0,V,7.0,V,0.0,N,0.0,N,0.0,N
590,28,79,24,9,28079024_9_47,2018,3,3.0,V,4.0,V,3.0,V,2.0,V,2.0,V,2.0,V,4.0,V,5.0,V,8.0,V,3.0,V,3.0,V,3.0,V,5.0,V,5.0,V,2.0,V,2.0,V,2.0,V,3.0,V,3.0,V,3.0,V,4.0,N,850.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
591,28,79,24,9,28079024_9_47,2018,10,0.0,N,0.0,N,8.0,N,8.0,V,12.0,V,13.0,V,3.0,V,4.0,V,3.0,V,8.0,V,12.0,V,5.0,V,10.0,V,5.0,V,4.0,V,8.0,V,8.0,V,7.0,V,4.0,V,4.0,V,9.0,V,11.0,V,10.0,V,14.0,V,14.0,V,15.0,V,8.0,V,2.0,V,2.0,V,4.0,V,3.0,V
592,28,79,24,9,28079024_9_47,2018,11,7.0,V,3.0,V,6.0,V,12.0,V,5.0,V,3.0,V,5.0,V,8.0,V,2.0,V,3.0,V,4.0,V,6.0,V,9.0,V,11.0,V,9.0,V,9.0,V,8.0,V,7.0,V,4.0,V,3.0,V,3.0,V,7.0,V,4.0,V,11.0,V,5.0,V,2.0,V,6.0,V,19.0,V,24.0,V,9.0,V,0.0,N
593,28,79,24,9,28079024_9_47,2018,12,10.0,V,17.0,V,19.0,V,15.0,V,25.0,V,19.0,V,18.0,V,11.0,V,21.0,V,17.0,V,17.0,V,19.0,V,6.0,V,2.0,V,10.0,V,4.0,V,8.0,V,15.0,V,9.0,V,7.0,V,8.0,V,18.0,V,14.0,V,15.0,V,13.0,V,15.0,V,26.0,V,17.0,V,9.0,V,8.0,V,15.0,V
930,28,79,38,9,28079038_9_47,2018,1,3.0,V,4.0,V,7.0,V,6.0,V,4.0,V,2.0,V,2.0,V,8.0,V,14.0,V,8.0,V,3.0,V,11.0,V,14.0,V,6.0,V,10.0,V,12.0,V,11.0,V,10.0,V,18.0,V,9.0,V,7.0,V,11.0,V,13.0,V,18.0,V,20.0,V,3.0,V,3.0,V,4.0,V,10.0,V,13.0,V,15.0,V
931,28,79,38,9,28079038_9_47,2018,2,15.0,V,3.0,V,5.0,V,3.0,V,5.0,V,6.0,V,7.0,V,8.0,V,15.0,V,5.0,V,9.0,V,5.0,V,7.0,V,5.0,V,13.0,V,17.0,V,16.0,V,3.0,V,4.0,V,4.0,V,3.0,V,9.0,V,9.0,V,14.0,V,16.0,V,19.0,V,12.0,V,8.0,V,0.0,N,0.0,N,0.0,N
932,28,79,38,9,28079038_9_47,2018,3,3.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,5.0,V,8.0,V,7.0,V,4.0,V,3.0,V,3.0,V,6.0,V,5.0,V,3.0,V,4.0,V,3.0,V,4.0,V,3.0,V,3.0,V,5.0,V,7.0,V,9.0,V,2.0,V,2.0,V,5.0,V,5.0,V,6.0,V,4.0,V,2.0,V,3.0,V
933,28,79,38,9,28079038_9_47,2018,4,6.0,V,5.0,V,4.0,V,3.0,V,8.0,V,9.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,3.0,V,6.0,V,6.0,V,4.0,V,8.0,V,9.0,V,9.0,V,11.0,V,14.0,V,13.0,V,13.0,V,14.0,V,15.0,V,11.0,V,9.0,V,4.0,V,2.0,V,3.0,V,0.0,N
934,28,79,38,9,28079038_9_47,2018,5,3.0,V,5.0,V,5.0,V,5.0,V,8.0,V,8.0,V,8.0,V,9.0,V,13.0,V,7.0,V,9.0,V,8.0,V,3.0,V,3.0,V,4.0,V,8.0,V,7.0,V,9.0,V,8.0,V,6.0,V,8.0,V,11.0,V,11.0,V,8.0,V,8.0,V,6.0,V,7.0,V,8.0,V,11.0,V,8.0,V,9.0,V
935,28,79,38,9,28079038_9_47,2018,6,9.0,V,5.0,V,7.0,V,4.0,V,5.0,V,5.0,V,9.0,V,9.0,V,7.0,V,7.0,V,5.0,V,6.0,V,6.0,V,10.0,V,9.0,V,8.0,V,7.0,V,7.0,V,9.0,V,10.0,V,10.0,V,13.0,V,14.0,V,18.0,V,20.0,V,22.0,V,16.0,V,13.0,V,13.0,V,12.0,V,0.0,N
936,28,79,38,9,28079038_9_47,2018,7,6.0,V,8.0,V,9.0,V,8.0,V,8.0,V,10.0,V,13.0,V,12.0,V,11.0,V,15.0,V,13.0,V,13.0,V,16.0,V,14.0,V,10.0,V,9.0,V,10.0,V,11.0,V,12.0,V,12.0,V,7.0,V,10.0,V,12.0,V,10.0,V,12.0,V,16.0,V,12.0,V,9.0,V,8.0,V,7.0,V,9.0,V
937,28,79,38,9,28079038_9_47,2018,8,15.0,V,16.0,V,21.0,V,15.0,V,15.0,V,22.0,V,21.0,V,17.0,V,9.0,V,9.0,V,14.0,V,16.0,V,11.0,V,8.0,V,8.0,V,12.0,V,10.0,V,6.0,V,8.0,V,9.0,V,11.0,V,11.0,V,13.0,V,14.0,V,10.0,V,11.0,V,14.0,V,16.0,V,15.0,V,14.0,V,14.0,V
938,28,79,38,9,28079038_9_47,2018,9,11.0,V,14.0,V,17.0,V,23.0,V,16.0,V,12.0,V,9.0,V,11.0,V,9.0,V,8.0,V,9.0,V,11.0,V,15.0,V,14.0,V,11.0,V,8.0,V,11.0,V,13.0,V,13.0,V,15.0,V,14.0,V,12.0,V,10.0,V,9.0,V,9.0,V,8.0,V,11.0,V,11.0,V,12.0,V,11.0,V,0.0,N
939,28,79,38,9,28079038_9_47,2018,10,8.0,V,6.0,V,6.0,V,8.0,V,13.0,V,12.0,V,3.0,V,4.0,V,6.0,V,11.0,V,13.0,V,7.0,V,13.0,V,5.0,V,6.0,V,11.0,V,9.0,V,10.0,V,6.0,V,7.0,V,12.0,V,15.0,V,16.0,V,22.0,V,18.0,V,18.0,V,11.0,V,4.0,V,3.0,V,5.0,V,6.0,V
940,28,79,38,9,28079038_9_47,2018,11,9.0,V,6.0,V,11.0,V,15.0,V,6.0,V,5.0,V,8.0,V,11.0,V,3.0,V,4.0,V,7.0,V,10.0,V,13.0,V,15.0,V,13.0,V,13.0,V,11.0,V,9.0,V,6.0,V,6.0,V,5.0,V,10.0,V,6.0,V,15.0,V,7.0,V,4.0,V,10.0,V,27.0,V,25.0,V,14.0,V,0.0,N
941,28,79,38,9,28079038_9_47,2018,12,13.0,V,25.0,V,31.0,V,31.0,V,30.0,V,28.0,V,19.0,V,15.0,V,33.0,V,29.0,V,19.0,V,27.0,V,8.0,V,5.0,V,11.0,V,5.0,V,11.0,V,18.0,V,11.0,V,10.0,V,12.0,V,21.0,V,19.0,V,28.0,V,15.0,V,21.0,V,33.0,V,21.0,V,9.0,V,9.0,V,21.0,V
1146,28,79,47,9,28079047_9_47,2018,1,6.0,V,5.0,V,8.0,V,5.0,V,4.0,V,4.0,V,3.0,V,8.0,V,14.0,V,9.0,V,4.0,V,11.0,V,15.0,V,7.0,V,12.0,V,14.0,V,11.0,V,15.0,V,19.0,V,20.0,V,9.0,V,14.0,V,16.0,V,25.0,V,22.0,V,3.0,V,3.0,V,4.0,V,11.0,V,15.0,V,16.0,V
1147,28,79,47,9,28079047_9_47,2018,2,18.0,V,4.0,V,6.0,V,4.0,V,5.0,V,5.0,V,6.0,V,8.0,V,16.0,V,6.0,V,12.0,V,5.0,V,10.0,V,6.0,V,14.0,V,20.0,V,18.0,V,3.0,V,3.0,V,4.0,V,4.0,V,10.0,V,10.0,V,15.0,V,18.0,V,18.0,V,11.0,V,8.0,V,0.0,N,0.0,N,0.0,N
1148,28,79,47,9,28079047_9_47,2018,3,3.0,V,6.0,V,3.0,V,4.0,V,4.0,V,4.0,V,4.0,V,9.0,V,8.0,V,4.0,V,4.0,V,4.0,V,7.0,V,5.0,V,3.0,V,3.0,V,3.0,V,3.0,V,2.0,N,4.0,V,5.0,V,8.0,V,11.0,V,4.0,V,3.0,V,7.0,V,6.0,V,9.0,V,5.0,V,3.0,V,3.0,V
1149,28,79,47,9,28079047_9_47,2018,4,6.0,V,5.0,V,3.0,V,4.0,V,7.0,V,9.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,4.0,V,6.0,V,5.0,V,4.0,V,8.0,V,9.0,V,10.0,V,14.0,V,15.0,V,18.0,V,13.0,V,15.0,V,15.0,V,13.0,V,10.0,V,7.0,V,4.0,V,3.0,V,0.0,N
1150,28,79,47,9,28079047_9_47,2018,5,4.0,V,6.0,V,7.0,V,5.0,V,11.0,V,8.0,V,8.0,V,10.0,V,13.0,V,7.0,V,10.0,V,8.0,V,3.0,V,3.0,V,6.0,V,6.0,V,7.0,V,9.0,V,10.0,V,5.0,V,8.0,V,10.0,V,11.0,V,10.0,V,7.0,V,7.0,V,7.0,V,8.0,V,8.0,V,9.0,V,7.0,V
1151,28,79,47,9,28079047_9_47,2018,6,11.0,V,5.0,V,10.0,V,3.0,V,4.0,V,4.0,V,8.0,V,8.0,V,6.0,V,6.0,V,3.0,V,5.0,V,6.0,V,6.0,V,10.0,V,7.0,V,6.0,V,7.0,V,9.0,V,10.0,V,9.0,V,11.0,V,13.0,V,18.0,V,21.0,V,22.0,V,15.0,V,14.0,V,13.0,V,11.0,V,0.0,N
1152,28,79,47,9,28079047_9_47,2018,7,6.0,V,7.0,V,9.0,V,10.0,V,8.0,V,9.0,V,13.0,V,13.0,V,12.0,V,15.0,V,13.0,V,14.0,V,17.0,V,11.0,V,10.0,V,9.0,V,9.0,V,12.0,V,14.0,V,16.0,V,8.0,V,9.0,V,11.0,V,11.0,V,10.0,V,15.0,V,14.0,V,8.0,V,14.0,V,15.0,V,11.0,V
1153,28,79,47,9,28079047_9_47,2018,8,15.0,V,20.0,N,25.0,V,17.0,V,19.0,V,23.0,V,27.0,V,15.0,V,12.0,V,12.0,V,17.0,V,19.0,V,11.0,V,10.0,V,12.0,V,16.0,V,12.0,V,9.0,V,13.0,V,13.0,V,11.0,V,12.0,V,16.0,V,15.0,V,10.0,V,13.0,V,14.0,V,22.0,V,17.0,V,13.0,V,17.0,V
1154,28,79,47,9,28079047_9_47,2018,9,17.0,V,20.0,V,18.0,V,22.0,V,13.0,V,13.0,V,15.0,V,11.0,V,12.0,V,9.0,V,14.0,V,13.0,V,16.0,V,12.0,V,11.0,V,7.0,V,10.0,V,15.0,V,15.0,V,15.0,V,14.0,V,13.0,V,10.0,V,7.0,V,10.0,V,9.0,V,11.0,V,12.0,V,14.0,V,13.0,V,0.0,N
1155,28,79,47,9,28079047_9_47,2018,10,7.0,V,7.0,V,8.0,V,10.0,V,14.0,V,11.0,V,4.0,V,5.0,V,5.0,N,8.0,V,11.0,V,6.0,V,12.0,V,5.0,V,6.0,V,8.0,V,10.0,V,9.0,V,5.0,V,5.0,V,11.0,V,14.0,V,13.0,V,21.0,V,17.0,V,18.0,V,10.0,V,3.0,V,4.0,V,5.0,V,4.0,V
1156,28,79,47,9,28079047_9_47,2018,11,12.0,V,6.0,V,10.0,V,12.0,V,5.0,V,5.0,V,6.0,V,16.0,N,0.0,N,0.0,N,0.0,N,8.0,N,11.0,V,15.0,V,10.0,V,8.0,V,9.0,V,8.0,V,7.0,V,5.0,V,5.0,V,7.0,V,4.0,N,14.0,V,4.0,V,4.0,V,10.0,V,21.0,V,22.0,V,13.0,V,0.0,N
1157,28,79,47,9,28079047_9_47,2018,12,15.0,V,17.0,V,29.0,V,23.0,V,31.0,V,24.0,V,23.0,V,17.0,V,25.0,V,29.0,V,19.0,V,21.0,V,6.0,V,5.0,V,9.0,V,4.0,V,10.0,V,15.0,V,11.0,V,8.0,V,12.0,V,19.0,V,15.0,V,22.0,V,16.0,V,18.0,V,26.0,V,21.0,V,11.0,V,12.0,V,17.0,V
1206,28,79,48,9,28079048_9_47,2018,1,3.0,V,5.0,V,8.0,V,6.0,V,4.0,V,2.0,V,3.0,V,5.0,V,12.0,V,7.0,V,3.0,V,9.0,V,14.0,V,5.0,V,8.0,V,11.0,V,8.0,V,9.0,V,12.0,V,10.0,V,7.0,V,10.0,V,8.0,V,17.0,V,19.0,V,3.0,V,3.0,V,4.0,V,8.0,V,9.0,V,11.0,V
1207,28,79,48,9,28079048_9_47,2018,2,15.0,V,5.0,V,4.0,V,6.0,V,3.0,V,7.0,V,4.0,V,9.0,V,12.0,V,6.0,V,11.0,V,3.0,V,9.0,V,5.0,V,14.0,V,15.0,V,14.0,V,2.0,V,3.0,V,2.0,V,2.0,V,8.0,V,7.0,V,12.0,V,15.0,V,17.0,V,10.0,V,6.0,V,0.0,N,0.0,N,0.0,N
1208,28,79,48,9,28079048_9_47,2018,3,4.0,V,5.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,8.0,V,7.0,V,4.0,V,2.0,V,3.0,V,5.0,V,5.0,V,2.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,5.0,V,7.0,V,9.0,V,2.0,V,3.0,V,4.0,V,4.0,V,7.0,V,4.0,V,2.0,V,2.0,V
1209,28,79,48,9,28079048_9_47,2018,4,5.0,V,6.0,V,5.0,V,2.0,V,7.0,V,9.0,V,4.0,V,3.0,V,3.0,V,3.0,V,3.0,V,4.0,V,3.0,V,6.0,V,5.0,V,4.0,V,8.0,V,9.0,V,9.0,V,10.0,V,11.0,V,12.0,V,14.0,V,11.0,V,14.0,V,10.0,V,10.0,V,6.0,V,2.0,V,3.0,V,0.0,N
1210,28,79,48,9,28079048_9_47,2018,5,3.0,V,5.0,V,5.0,V,4.0,V,7.0,V,7.0,V,7.0,V,9.0,V,11.0,V,7.0,V,10.0,V,7.0,V,4.0,V,3.0,V,4.0,V,8.0,V,7.0,V,7.0,V,8.0,V,5.0,V,10.0,V,10.0,V,9.0,V,10.0,V,7.0,V,7.0,V,7.0,V,6.0,V,9.0,V,8.0,V,10.0,V
1211,28,79,48,9,28079048_9_47,2018,6,13.0,V,6.0,V,10.0,V,5.0,V,5.0,V,4.0,V,9.0,V,10.0,V,8.0,V,7.0,V,5.0,V,5.0,V,5.0,V,6.0,V,6.0,V,6.0,V,5.0,V,3.0,V,7.0,V,8.0,V,10.0,V,8.0,V,10.0,V,15.0,V,18.0,V,17.0,V,13.0,V,9.0,V,12.0,V,10.0,V,0.0,N
1212,28,79,48,9,28079048_9_47,2018,7,12.0,V,7.0,V,8.0,V,7.0,V,7.0,V,6.0,V,10.0,V,9.0,V,12.0,V,10.0,V,14.0,V,14.0,V,18.0,V,16.0,V,11.0,V,13.0,V,10.0,V,13.0,V,15.0,V,14.0,V,7.0,V,9.0,V,12.0,V,11.0,V,11.0,V,18.0,V,15.0,V,10.0,V,9.0,V,9.0,V,10.0,V
1213,28,79,48,9,28079048_9_47,2018,8,16.0,V,18.0,V,25.0,V,21.0,V,16.0,V,23.0,V,24.0,V,15.0,V,10.0,V,10.0,V,16.0,V,17.0,V,13.0,V,8.0,V,8.0,V,14.0,V,11.0,V,7.0,V,8.0,V,12.0,V,9.0,V,12.0,V,18.0,V,14.0,V,12.0,V,11.0,V,14.0,V,19.0,V,19.0,V,14.0,V,16.0,V
1214,28,79,48,9,28079048_9_47,2018,9,12.0,V,16.0,V,21.0,V,21.0,V,17.0,V,16.0,V,11.0,V,10.0,V,11.0,V,8.0,N,11.0,V,11.0,V,15.0,V,14.0,V,11.0,V,9.0,V,11.0,V,12.0,V,16.0,V,16.0,V,14.0,V,14.0,V,11.0,V,7.0,V,7.0,V,11.0,V,15.0,V,12.0,V,15.0,V,13.0,V,0.0,N
1215,28,79,48,9,28079048_9_47,2018,10,7.0,V,6.0,V,8.0,V,10.0,V,16.0,V,17.0,V,4.0,V,5.0,V,5.0,V,12.0,V,15.0,V,12.0,V,15.0,V,7.0,V,8.0,V,10.0,V,11.0,V,11.0,V,7.0,V,7.0,V,11.0,V,15.0,V,16.0,V,19.0,V,17.0,V,19.0,V,12.0,V,4.0,V,4.0,V,8.0,V,8.0,V
1216,28,79,48,9,28079048_9_47,2018,11,10.0,V,9.0,V,11.0,V,14.0,V,9.0,V,7.0,V,8.0,V,12.0,V,5.0,V,7.0,V,9.0,V,11.0,V,10.0,V,11.0,V,10.0,V,10.0,V,10.0,V,8.0,V,5.0,V,7.0,V,7.0,V,9.0,V,7.0,V,14.0,V,7.0,V,4.0,V,9.0,V,26.0,V,22.0,V,13.0,V,0.0,N
1217,28,79,48,9,28079048_9_47,2018,12,15.0,V,22.0,V,30.0,V,21.0,V,24.0,V,21.0,V,15.0,V,15.0,V,30.0,V,21.0,V,15.0,V,25.0,V,7.0,V,7.0,V,12.0,V,5.0,V,10.0,V,16.0,V,13.0,V,11.0,V,12.0,V,19.0,V,19.0,V,17.0,V,9.0,V,15.0,V,25.0,V,16.0,V,7.0,V,9.0,V,10.0,V
1314,28,79,50,9,28079050_9_47,2018,1,4.0,V,5.0,V,7.0,V,7.0,V,4.0,V,2.0,V,3.0,V,6.0,V,14.0,V,7.0,V,4.0,V,11.0,V,14.0,V,6.0,V,10.0,V,12.0,V,11.0,V,11.0,V,11.0,V,9.0,V,8.0,V,9.0,V,10.0,V,17.0,V,18.0,V,3.0,V,3.0,V,3.0,V,7.0,V,8.0,V,11.0,V
1315,28,79,50,9,28079050_9_47,2018,2,12.0,V,3.0,V,5.0,V,3.0,V,4.0,V,4.0,V,5.0,V,5.0,V,14.0,V,4.0,V,8.0,V,3.0,V,6.0,V,6.0,V,12.0,V,12.0,V,10.0,V,3.0,V,3.0,V,2.0,V,3.0,V,8.0,V,7.0,V,12.0,V,14.0,V,15.0,V,10.0,V,6.0,V,0.0,N,0.0,N,0.0,N
1316,28,79,50,9,28079050_9_47,2018,3,4.0,V,3.0,V,4.0,V,4.0,V,4.0,V,4.0,V,4.0,V,7.0,V,6.0,N,4.0,V,3.0,V,3.0,V,6.0,V,6.0,V,3.0,V,4.0,V,4.0,V,4.0,V,5.0,V,4.0,V,5.0,V,8.0,V,10.0,V,3.0,V,3.0,V,5.0,V,7.0,V,9.0,V,5.0,V,2.0,V,2.0,V
1317,28,79,50,9,28079050_9_47,2018,4,6.0,V,7.0,V,5.0,V,4.0,V,6.0,V,9.0,V,5.0,V,4.0,V,3.0,V,4.0,V,4.0,V,6.0,V,4.0,V,6.0,V,5.0,V,5.0,V,8.0,V,9.0,V,12.0,V,13.0,V,16.0,V,12.0,V,12.0,V,12.0,V,16.0,V,14.0,V,13.0,V,5.0,V,4.0,V,5.0,V,0.0,N
1318,28,79,50,9,28079050_9_47,2018,5,3.0,V,5.0,V,6.0,V,5.0,V,9.0,V,7.0,V,8.0,V,9.0,V,9.0,V,6.0,V,11.0,V,6.0,V,5.0,V,3.0,V,5.0,V,8.0,V,6.0,V,6.0,V,7.0,V,6.0,V,8.0,V,10.0,V,8.0,V,9.0,V,12.0,V,9.0,V,7.0,V,8.0,V,10.0,V,11.0,V,11.0,V
1319,28,79,50,9,28079050_9_47,2018,6,12.0,V,6.0,V,11.0,V,6.0,V,5.0,V,4.0,V,9.0,V,8.0,V,8.0,V,7.0,V,5.0,V,6.0,V,5.0,V,7.0,V,9.0,V,7.0,V,4.0,V,3.0,V,7.0,V,9.0,V,8.0,V,11.0,V,13.0,V,18.0,V,17.0,V,19.0,V,17.0,V,13.0,V,13.0,V,11.0,V,0.0,N
1320,28,79,50,9,28079050_9_47,2018,7,6.0,V,9.0,V,9.0,V,9.0,V,8.0,V,9.0,V,11.0,V,11.0,V,10.0,V,13.0,V,13.0,V,11.0,V,16.0,V,13.0,V,10.0,V,9.0,V,7.0,V,13.0,V,13.0,V,10.0,V,6.0,V,11.0,V,12.0,V,10.0,V,12.0,V,12.0,V,13.0,V,8.0,V,7.0,V,10.0,V,8.0,V
1321,28,79,50,9,28079050_9_47,2018,8,13.0,V,14.0,V,18.0,V,15.0,V,11.0,V,20.0,V,19.0,V,12.0,V,9.0,V,9.0,V,13.0,V,16.0,V,12.0,V,8.0,V,6.0,V,12.0,V,10.0,V,5.0,V,8.0,V,6.0,V,9.0,V,8.0,V,12.0,V,11.0,V,10.0,V,9.0,V,14.0,V,14.0,V,15.0,V,12.0,V,15.0,V
1322,28,79,50,9,28079050_9_47,2018,9,12.0,V,13.0,V,16.0,V,21.0,V,15.0,V,13.0,V,11.0,V,9.0,V,10.0,V,7.0,V,10.0,V,12.0,V,14.0,V,12.0,V,10.0,V,9.0,V,10.0,V,12.0,V,14.0,V,12.0,V,12.0,V,13.0,V,10.0,V,7.0,V,8.0,V,7.0,V,12.0,V,12.0,V,11.0,V,12.0,V,0.0,N
1323,28,79,50,9,28079050_9_47,2018,10,5.0,V,4.0,V,6.0,V,9.0,V,14.0,V,13.0,V,4.0,V,3.0,V,5.0,V,9.0,V,15.0,V,10.0,V,15.0,V,7.0,V,10.0,V,10.0,V,10.0,V,9.0,V,6.0,V,7.0,V,12.0,V,14.0,V,15.0,V,19.0,V,16.0,V,21.0,V,13.0,V,11.0,V,13.0,V,21.0,V,13.0,V
